Sample	checked	Country	State	Site	Replicate	Remnant	Depth	Lat	Long
Brazil_SantaCatarina_LgP5_S42_L001	Y	Brazil	Santa_Catarina	LgP	5	Remnant	20	-27.761	-50.078
Brazil_Tocantins_Ag1_S53_L001	Y	Brazil	Tocantins	Ag	1	Disturbed	20	-10.402	-48.36
Brazil_Tocantins_Ag2_S54_L001	Y	Brazil	Tocantins	Ag	2	Disturbed	20	-10.402	-48.36
Brazil_Tocantins_Ag3_S55_L001	Y	Brazil	Tocantins	Ag	3	Disturbed	20	-10.402	-48.36
Brazil_Tocantins_Ag4_S56_L001	Y	Brazil	Tocantins	Ag	4	Disturbed	20	-10.402	-48.36
Brazil_Tocantins_Ag5_S57_L001	Y	Brazil	Tocantins	Ag	5	Disturbed	20	-10.402	-48.36
Brazil_Tocantins_Na1_S48_L001	Y	Brazil	Tocantins	Na	1	Remnant	20	-10.144	-48.317
Brazil_Tocantins_Na2_S49_L001	Y	Brazil	Tocantins	Na	2	Remnant	20	-10.144	-48.317
Brazil_Tocantins_Na4_S51_L001	Y	Brazil	Tocantins	Na	3	Remnant	20	-10.144	-48.317
Brazil_Tocantins_Na5_S52_L001	Y	Brazil	Tocantins	Na	4	Remnant	20	-10.144	-48.317
USA_Alaska_ApexBeta1_S13_L001	Y	USA	Alaska	Apex_Beta	1	Remnant	15	64.696	-148.319
USA_Alaska_ApexBeta2_S14_L001	Y	USA	Alaska	Apex_Beta	2	Remnant	15	64.696	-148.319
USA_Alaska_ApexBeta3_S15_L001	Y	USA	Alaska	Apex_Beta	3	Remnant	15	64.696	-148.319
USA_Alaska_ApexBeta4_S16_L001	Y	USA	Alaska	Apex_Beta	4	Remnant	15	64.696	-148.319
USA_Alaska_ApexBeta5_S17_L001	Y	USA	Alaska	Apex_Beta	5	Remnant	15	64.696	-148.319
USA_Alaska_ApexGamma1_S8_L001	Y	USA	Alaska	Apex_Gamma	1	Remnant	25	64.696	-148.32
USA_Alaska_ApexGamma2_S9_L001	Y	USA	Alaska	Apex_Gamma	2	Remnant	20	64.696	-148.32
USA_Alaska_ApexGamma3_S10_L001	Y	USA	Alaska	Apex_Gamma	3	Remnant	25	64.696	-148.32
USA_Alaska_ApexGamma4_S11_L001	Y	USA	Alaska	Apex_Gamma	4	Remnant	15	64.696	-148.32
USA_Alaska_ApexGamma5_S12_L001	Y	USA	Alaska	Apex_Gamma	5	Remnant	50	64.696	-148.32
USA_Alaska_T.FieldAgr1_S18_L001	Y	USA	Alaska	T.Field_Agr	1	Disturbed	20	64.869	-147.86
USA_Alaska_T.FieldAgr2_S19_L001	Y	USA	Alaska	T.Field_Agr	2	Disturbed	20	64.869	-147.86
USA_Alaska_T.FieldAgr3_S20_L001	Y	USA	Alaska	T.Field_Agr	3	Disturbed	20	64.869	-147.86
USA_Alaska_T.FieldAgr4_S21_L001	Y	USA	Alaska	T.Field_Agr	4	Disturbed	20	64.869	-147.86
USA_Alaska_T.FieldAgr5_S22_L001	Y	USA	Alaska	T.Field_Agr	5	Disturbed	20	64.869	-147.86
USA_Alaska_T.Perm1_S1_L001	Y	USA	Alaska	T.Perm	1	Remnant	20	64.87	-147.86
USA_Alaska_T.Perm2_S2_L001	Y	USA	Alaska	T.Perm	2	Remnant	20	64.87	-147.86
USA_Alaska_UAF1_S3_L001	Y	USA	Alaska	UAF	1	Disturbed	10	64.856	-147.85
USA_Alaska_UAF2_S4_L001	Y	USA	Alaska	UAF	2	Disturbed	10	64.856	-147.85
USA_Alaska_UAF3_S5_L001	Y	USA	Alaska	UAF	3	Disturbed	10	64.856	-147.85
USA_Alaska_UAF4_S6_L001	Y	USA	Alaska	UAF	4	Disturbed	10	64.856	-147.85
USA_Alaska_UAF5_S7_L001	Y	USA	Alaska	UAF	5	Disturbed	10	64.856	-147.85
